entity_type,model,held_out_entity_id,held_out_entity,actual_bonus,predicted_bonus,alpha,gamma,delta,eta,ridge_penalty,error
driver,hybrid,piastri,Oscar Piastri,7.5,5.862108053,3.591188827,0.1673308903,,,,-1.637891947
driver,hybrid,gasly,Pierre Gasly,4.333333333,5.745977683,3.700018928,0.1704965629,,,,1.41264435
driver,hybrid,lawson,Liam Lawson,8.75,4.923367515,3.462958892,0.170381006,,,,-3.826632485
driver,hybrid,arvid_lindblad,Arvid Lindblad,-2,5.41313405,4.004253229,0.1671553516,,,,7.41313405
driver,hybrid,ocon,Esteban Ocon,6.75,4.891283068,3.553405845,0.1702752828,,,,-1.858716932
driver,hybrid,bortoleto,Gabriel Bortoleto,0.25,5.107904773,3.896712911,0.1662420203,,,,4.857904773
driver,hybrid,colapinto,Franco Colapinto,5.5,4.739158141,3.605634992,0.1700284725,,,,-0.7608418587
driver,hybrid,sainz,Carlos Sainz,8,3.776120822,3.368032812,0.1785385042,,,,-4.223879178
driver,hybrid,albon,Alexander Albon,7.75,3.735403495,3.378536862,0.1784333164,,,,-4.014596505
driver,hybrid,alonso,Fernando Alonso,2.5,3.984462968,3.74761761,0.1657917506,,,,1.484462968
driver,hybrid,bearman,Oliver Bearman,4,3.776256772,3.630565062,0.1699736611,,,,-0.2237432284
driver,hybrid,hulkenberg,Nico Hulkenberg,-2.75,4.065782726,4.150768704,0.1487254614,,,,6.815782726
driver,hybrid,perez,Sergio Perez,3.75,2.825515637,3.567960643,0.1732371681,,,,-0.9244843632
driver,hybrid,bottas,Valtteri Bottas,0.25,1.922385433,3.824657349,0.1585226597,,,,1.672385433
driver,hybrid,stroll,Lance Stroll,5.25,0.07335609431,3.057927551,0.2068514871,,,,-5.176643906
driver,price_only,antonelli,Kimi Antonelli,10,7.995538808,0.7901651652,,8.343064218,,,-2.004461192
driver,price_only,hamilton,Lewis Hamilton,7,7.902174119,0.6502733016,,8.863434332,,,0.9021741186
driver,price_only,max_verstappen,Max Verstappen,6.5,9.440844801,0.4556172541,,9.413095526,,,2.940844801
driver,price_only,russell,George Russell,11.25,9.02405754,0.888640873,,8.135416667,,,-2.22594246
driver,price_only,leclerc,Charles Leclerc,10.75,6.752181356,0.7380439585,,8.269438922,,,-3.997818644
driver,price_only,norris,Lando Norris,10.25,8.371512222,0.8080444864,,8.319814509,,,-1.878487778
driver,price_only,hadjar,Isack Hadjar,-0.25,7.063097061,0.6848428499,,9.354772843,,,7.313097061
driver,price_only,piastri,Oscar Piastri,7.5,7.415003541,0.6878167859,,8.705771094,,,-0.08499645945
driver,price_only,gasly,Pierre Gasly,4.333333333,6.338360665,0.7114872937,,8.842229583,,,2.005027331
driver,price_only,lawson,Liam Lawson,8.75,4.866688232,0.483807778,,8.765760909,,,-3.883311768
driver,price_only,arvid_lindblad,Arvid Lindblad,-2,4.598415327,1.200242543,,8.306644584,,,6.598415327
driver,price_only,ocon,Esteban Ocon,6.75,5.377785565,0.632152613,,8.700327079,,,-1.372214435
driver,price_only,bortoleto,Gabriel Bortoleto,0.25,4.082932254,1.034438124,,8.383358857,,,3.832932254
driver,price_only,colapinto,Franco Colapinto,5.5,5.853774859,0.6947686987,,8.730625811,,,0.3537748595
driver,price_only,sainz,Carlos Sainz,8,4.479045071,0.4568066364,,8.848924557,,,-3.520954929
driver,price_only,albon,Alexander Albon,7.75,2.143913603,-0.04353911333,,9.62479195,,,-5.606086397
driver,price_only,alonso,Fernando Alonso,2.5,3.111830091,0.7572068798,,8.633618441,,,0.6118300909
driver,price_only,bearman,Oliver Bearman,4,3.419634968,0.6252208968,,8.782444224,,,-0.580365032
driver,price_only,hulkenberg,Nico Hulkenberg,-2.75,2.210244648,1.524424594,,7.544020602,,,4.960244648
driver,price_only,perez,Sergio Perez,3.75,2.089368214,0.447996073,,9.027546778,,,-1.660631786
driver,price_only,bottas,Valtteri Bottas,0.25,1.690749235,0.9292411074,,8.376589409,,,1.440749235
driver,price_only,stroll,Lance Stroll,5.25,0.8249235474,-0.06273136971,,9.764204088,,,-4.425076453
driver,form_price,antonelli,Kimi Antonelli,10,5.097694993,-1.750895433,-0.2428591096,17.33023776,,,-4.902305007
driver,form_price,hamilton,Lewis Hamilton,7,6.71113876,-0.8580289531,-0.1402662025,14.17388076,,,-0.2888612395
driver,form_price,max_verstappen,Max Verstappen,6.5,9.499941688,-1.078211317,-0.137945468,14.83924637,,,2.999941688
