entity_type,entity_id,entity_name,normal_ev,normal_weekend_only_mean,median_normalised_score,recency_weighted_normal_ev,current_price,form_percentile,price_percentile,strength_definition,strength,form_price_correlation,form_price_percentile_correlation,form_price_vif
driver,antonelli,Kimi Antonelli,35.36363636,33.42857143,38,30.27336539,25.7,1,0.8636363636,form_percentile,1,,,
driver,arvid_lindblad,Arvid Lindblad,6.545454545,8.428571429,6,6.524602946,8,0.4545454545,0.4090909091,form_percentile,0.4545454545,,,
driver,bearman,Oliver Bearman,4.818181818,0.8571428571,7,3.818083937,7.6,0.3181818182,0.3181818182,form_percentile,0.3181818182,,,
driver,bortoleto,Gabriel Bortoleto,5.818181818,7.285714286,7,7.734819253,7.8,0.4090909091,0.3636363636,form_percentile,0.4090909091,,,
driver,bottas,Valtteri Bottas,-5.545454545,-12,1,-7.354646962,3,0.09090909091,0.09090909091,form_percentile,0.09090909091,,,
driver,colapinto,Franco Colapinto,10.1,6.666666667,9,9.783099648,11.2,0.5909090909,0.5909090909,form_percentile,0.5909090909,,,
driver,gasly,Pierre Gasly,10.2,12,12,10.10904654,13,0.6363636364,0.6363636364,form_percentile,0.6363636364,,,
driver,hadjar,Isack Hadjar,12.63636364,15.14285714,16,18.25929909,14.5,0.7272727273,0.6818181818,form_percentile,0.7272727273,,,
driver,hamilton,Lewis Hamilton,28.72727273,28.71428571,27,28.30524828,25,0.9545454545,0.8181818182,form_percentile,0.9545454545,,,
driver,hulkenberg,Nico Hulkenberg,-1.909090909,-0.5714285714,3,0.1337170976,3,0.1818181818,0.09090909091,form_percentile,0.1818181818,,,
driver,lawson,Liam Lawson,8.454545455,8.571428571,10,9.187979335,10.3,0.5227272727,0.5,form_percentile,0.5227272727,,,
driver,leclerc,Charles Leclerc,24.2,21,29.5,26.4863202,23.9,0.9090909091,0.7272727273,form_percentile,0.9090909091,,,
driver,max_verstappen,Max Verstappen,22.27272727,26,24,23.35335922,27.6,0.8181818182,0.9545454545,form_percentile,0.8181818182,,,
driver,norris,Lando Norris,16.90909091,19.85714286,23,23.17518415,26.1,0.7727272727,0.9090909091,form_percentile,0.7727272727,,,
driver,ocon,Esteban Ocon,8.454545455,7.857142857,8,7.605691747,10.7,0.5227272727,0.5454545455,form_percentile,0.5227272727,,,
driver,perez,Sergio Perez,-0.9090909091,-4.285714286,4,-6.230682692,3.8,0.2272727273,0.1818181818,form_percentile,0.2272727273,,,
driver,piastri,Oscar Piastri,11.81818182,13.57142857,16,10.53646474,24.4,0.6818181818,0.7727272727,form_percentile,0.6818181818,,,
driver,russell,George Russell,23.1,23.5,29,19.26278388,27.9,0.8636363636,1,form_percentile,0.8636363636,,,
driver,sainz,Carlos Sainz,5.222222222,2.285714286,9,3.315468358,10,0.3636363636,0.4545454545,form_percentile,0.3636363636,,,
driver,stroll,Lance Stroll,-9.181818182,-14.42857143,-17,-5.55656781,3,0.04545454545,0.09090909091,form_percentile,0.04545454545,,,
constructor,alpine,Alpine,26.45454545,23.57142857,25,25.20935228,18.8,0.5454545455,0.6363636364,blend_form_1.00_price_0.00,0.5454545455,,,
