entity_type,comparison_scope,model,strength_definition,mu,lambda,asset_penalty,event_penalty,observations,mae,rmse,bias,spearman,mae_low_form_third,mae_middle_form_third,mae_high_form_third,selected_penalties
constructor,asset_penalty_tuning,partial_asset,blend_form_0.75_price_0.25,,,4,,43,7.201824878,10.24607931,-0.0122405364,0.3969590404,7.216919506,6.367579335,8.025692865,False
constructor,asset_penalty_tuning,partial_asset,blend_form_0.75_price_0.25,,,16,,43,6.954524134,10.27513184,-0.004883295221,0.4052826193,6.902855769,5.9694647,7.975105568,True
constructor,full_penalty_tuning,full_partial_pooling,blend_form_0.75_price_0.25,,,1,1,43,7.844936339,10.50092102,0.03773716009,0.3791768493,7.993387239,7.381700818,8.206111866,False
constructor,full_penalty_tuning,full_partial_pooling,blend_form_0.75_price_0.25,,,1,4,43,7.848426446,10.50836414,0.02735263934,0.3803875517,8.004229537,7.383760833,8.205977435,False
constructor,full_penalty_tuning,full_partial_pooling,blend_form_0.75_price_0.25,,,1,16,43,7.854362767,10.52132672,0.00968961516,0.3795551938,8.022671194,7.387264711,8.20574878,False
constructor,full_penalty_tuning,full_partial_pooling,blend_form_0.75_price_0.25,,,4,1,43,7.186902796,10.2190558,0.02694990898,0.3989264318,7.179748444,6.351562476,8.027161732,False
constructor,full_penalty_tuning,full_partial_pooling,blend_form_0.75_price_0.25,,,4,4,43,7.190055921,10.22468327,0.0186687326,0.3969590404,7.187602913,6.354946934,8.026851352,False
constructor,full_penalty_tuning,full_partial_pooling,blend_form_0.75_price_0.25,,,4,16,43,7.195446814,10.23440737,0.00451042108,0.3969590404,7.201031683,6.360733336,8.026320695,False
constructor,full_penalty_tuning,full_partial_pooling,blend_form_0.75_price_0.25,,,16,1,43,6.945782322,10.25844972,0.02837311748,0.4052826193,6.874853253,5.963486421,7.976841959,True
constructor,full_penalty_tuning,full_partial_pooling,blend_form_0.75_price_0.25,,,16,4,43,6.947620633,10.26192263,0.02137964637,0.4052826193,6.880741885,5.96474359,7.976476814,False
constructor,full_penalty_tuning,full_partial_pooling,blend_form_0.75_price_0.25,,,16,16,43,6.95077459,10.2679247,0.009381068429,0.4052826193,6.89084491,5.966900493,7.975850342,False
