entity_type,entity_id,entity,round,event_name,observed_sprint_bonus,observation_valid,group_prediction,raw_personal_mean,shrunk_personal_mean,common_event_effect,asset_effect_u,final_candidate_bonus
driver,norris,Lando Norris,9,British Grand Prix,14,True,6.680779187,10.25,8.167826885,0.4041235685,1.784610407,8.465389593
driver,lawson,Liam Lawson,2,Chinese Grand Prix,14,True,4.938328516,8.75,6.526388657,1.421567186,1.905835742,6.844164258
driver,lawson,Liam Lawson,4,Miami Grand Prix,4,True,4.938328516,8.75,6.526388657,-0.9865710795,1.905835742,6.844164258
driver,lawson,Liam Lawson,5,Canadian Grand Prix,11,True,4.938328516,8.75,6.526388657,-0.8391196748,1.905835742,6.844164258
driver,lawson,Liam Lawson,9,British Grand Prix,6,True,4.938328516,8.75,6.526388657,0.4041235685,1.905835742,6.844164258
driver,hulkenberg,Nico Hulkenberg,2,Chinese Grand Prix,-3,True,2.802421242,-2.75,0.4891109536,1.421567186,-2.776210621,0.02621062086
driver,hulkenberg,Nico Hulkenberg,4,Miami Grand Prix,-10,True,2.802421242,-2.75,0.4891109536,-0.9865710795,-2.776210621,0.02621062086
driver,hulkenberg,Nico Hulkenberg,5,Canadian Grand Prix,-1,True,2.802421242,-2.75,0.4891109536,-0.8391196748,-2.776210621,0.02621062086
driver,hulkenberg,Nico Hulkenberg,9,British Grand Prix,3,True,2.802421242,-2.75,0.4891109536,0.4041235685,-2.776210621,0.02621062086
driver,bearman,Oliver Bearman,2,Chinese Grand Prix,5,True,4.188887367,4,4.110191052,1.421567186,-0.09444368349,4.094443683
driver,bearman,Oliver Bearman,4,Miami Grand Prix,3,True,4.188887367,4,4.110191052,-0.9865710795,-0.09444368349,4.094443683
driver,bearman,Oliver Bearman,5,Canadian Grand Prix,2,True,4.188887367,4,4.110191052,-0.8391196748,-0.09444368349,4.094443683
driver,bearman,Oliver Bearman,9,British Grand Prix,6,True,4.188887367,4,4.110191052,0.4041235685,-0.09444368349,4.094443683
driver,bottas,Valtteri Bottas,2,Chinese Grand Prix,-8,True,2.052980093,0.25,1.301802865,1.421567186,-0.9014900465,1.151490046
driver,bottas,Valtteri Bottas,4,Miami Grand Prix,1,True,2.052980093,0.25,1.301802865,-0.9865710795,-0.9014900465,1.151490046
driver,bottas,Valtteri Bottas,5,Canadian Grand Prix,6,True,2.052980093,0.25,1.301802865,-0.8391196748,-0.9014900465,1.151490046
driver,bottas,Valtteri Bottas,9,British Grand Prix,2,True,2.052980093,0.25,1.301802865,0.4041235685,-0.9014900465,1.151490046
