entity_type,entity_id,entity,method,weight,group_bonus,personal_mean_bonus,shrunk_mean_bonus
driver,piastri,Oscar Piastri,fixed_weight_0.25,0.25,5.631561578,7.5,6.098671184
driver,piastri,Oscar Piastri,fixed_weight_0.50,0.5,5.631561578,7.5,6.565780789
driver,piastri,Oscar Piastri,fixed_weight_0.75,0.75,5.631561578,7.5,7.032890395
driver,piastri,Oscar Piastri,empirical_bayes,0.4166309052,5.631561578,7.5,6.410010769
driver,colapinto,Franco Colapinto,fixed_weight_0.25,0.25,5.277450636,5.5,5.333087977
driver,colapinto,Franco Colapinto,fixed_weight_0.50,0.5,5.277450636,5.5,5.388725318
driver,colapinto,Franco Colapinto,fixed_weight_0.75,0.75,5.277450636,5.5,5.444362659
driver,colapinto,Franco Colapinto,empirical_bayes,0.4166309052,5.277450636,5.5,5.370171579
driver,hadjar,Isack Hadjar,fixed_weight_0.25,0.25,5.800185837,-0.25,4.287639378
driver,hadjar,Isack Hadjar,fixed_weight_0.50,0.5,5.800185837,-0.25,2.775092918
driver,hadjar,Isack Hadjar,fixed_weight_0.75,0.75,5.800185837,-0.25,1.262546459
driver,hadjar,Isack Hadjar,empirical_bayes,0.4166309052,5.800185837,-0.25,3.279491435
driver,lawson,Liam Lawson,fixed_weight_0.25,0.25,4.938328516,8.75,5.891246387
driver,lawson,Liam Lawson,fixed_weight_0.50,0.5,4.938328516,8.75,6.844164258
driver,lawson,Liam Lawson,fixed_weight_0.75,0.75,4.938328516,8.75,7.797082129
driver,lawson,Liam Lawson,empirical_bayes,0.4166309052,4.938328516,8.75,6.526388657
driver,gasly,Pierre Gasly,fixed_weight_0.25,0.25,5.298060267,4.333333333,5.056878534
driver,gasly,Pierre Gasly,fixed_weight_0.50,0.5,5.298060267,4.333333333,4.8156968
driver,gasly,Pierre Gasly,fixed_weight_0.75,0.75,5.298060267,4.333333333,4.574515067
driver,gasly,Pierre Gasly,empirical_bayes,0.3488037885,5.298060267,4.333333333,4.961559858
driver,ocon,Esteban Ocon,fixed_weight_0.25,0.25,4.938328516,6.75,5.391246387
driver,ocon,Esteban Ocon,fixed_weight_0.50,0.5,4.938328516,6.75,5.844164258
driver,ocon,Esteban Ocon,fixed_weight_0.75,0.75,4.938328516,6.75,6.297082129
driver,ocon,Esteban Ocon,empirical_bayes,0.4166309052,4.938328516,6.75,5.693126846
driver,sainz,Carlos Sainz,fixed_weight_0.25,0.25,4.272158606,8,5.204118954
driver,sainz,Carlos Sainz,fixed_weight_0.50,0.5,4.272158606,8,6.136079303
driver,sainz,Carlos Sainz,fixed_weight_0.75,0.75,4.272158606,8,7.068039651
driver,sainz,Carlos Sainz,empirical_bayes,0.2631293655,4.272158606,8,5.253063146
driver,bearman,Oliver Bearman,fixed_weight_0.25,0.25,4.188887367,4,4.141665525
driver,bearman,Oliver Bearman,fixed_weight_0.50,0.5,4.188887367,4,4.094443683
driver,bearman,Oliver Bearman,fixed_weight_0.75,0.75,4.188887367,4,4.047221842
driver,bearman,Oliver Bearman,empirical_bayes,0.4166309052,4.188887367,4,4.110191052
driver,bortoleto,Gabriel Bortoleto,fixed_weight_0.25,0.25,4.394983683,0.25,3.358737762
driver,bortoleto,Gabriel Bortoleto,fixed_weight_0.50,0.5,4.394983683,0.25,2.322491841
driver,bortoleto,Gabriel Bortoleto,fixed_weight_0.75,0.75,4.394983683,0.25,1.286245921
driver,bortoleto,Gabriel Bortoleto,empirical_bayes,0.4166309052,4.394983683,0.25,2.668055379
driver,arvid_lindblad,Arvid Lindblad,fixed_weight_0.25,0.25,4.544871913,-2,2.908653934
driver,arvid_lindblad,Arvid Lindblad,fixed_weight_0.50,0.5,4.544871913,-2,1.272435956
driver,arvid_lindblad,Arvid Lindblad,fixed_weight_0.75,0.75,4.544871913,-2,-0.3637820218
driver,arvid_lindblad,Arvid Lindblad,empirical_bayes,0.4166309052,4.544871913,-2,1.818076003
driver,albon,Alexander Albon,fixed_weight_0.25,0.25,2.727477127,7.75,3.983107845
driver,albon,Alexander Albon,fixed_weight_0.50,0.5,2.727477127,7.75,5.238738563
driver,albon,Alexander Albon,fixed_weight_0.75,0.75,2.727477127,7.75,6.494369282
driver,albon,Alexander Albon,empirical_bayes,0.4166309052,2.727477127,7.75,4.820015378
driver,perez,Sergio Perez,fixed_weight_0.25,0.25,3.008517558,3.75,3.193888168
driver,perez,Sergio Perez,fixed_weight_0.50,0.5,3.008517558,3.75,3.379258779
driver,perez,Sergio Perez,fixed_weight_0.75,0.75,3.008517558,3.75,3.564629389
driver,perez,Sergio Perez,empirical_bayes,0.4166309052,3.008517558,3.75,3.317442059
driver,alonso,Fernando Alonso,fixed_weight_0.25,0.25,3.102197701,2.5,2.951648276
driver,alonso,Fernando Alonso,fixed_weight_0.50,0.5,3.102197701,2.5,2.801098851
driver,alonso,Fernando Alonso,fixed_weight_0.75,0.75,3.102197701,2.5,2.650549425
driver,alonso,Fernando Alonso,empirical_bayes,0.4166309052,3.102197701,2.5,2.851303528
driver,hulkenberg,Nico Hulkenberg,fixed_weight_0.25,0.25,2.802421242,-2.75,1.414315931
driver,hulkenberg,Nico Hulkenberg,fixed_weight_0.50,0.5,2.802421242,-2.75,0.02621062086
driver,hulkenberg,Nico Hulkenberg,fixed_weight_0.75,0.75,2.802421242,-2.75,-1.36189469
driver,hulkenberg,Nico Hulkenberg,empirical_bayes,0.4166309052,2.802421242,-2.75,0.4891109536
driver,bottas,Valtteri Bottas,fixed_weight_0.25,0.25,2.052980093,0.25,1.60223507
driver,bottas,Valtteri Bottas,fixed_weight_0.50,0.5,2.052980093,0.25,1.151490046
driver,bottas,Valtteri Bottas,fixed_weight_0.75,0.75,2.052980093,0.25,0.7007450232
driver,bottas,Valtteri Bottas,empirical_bayes,0.4166309052,2.052980093,0.25,1.301802865
driver,stroll,Lance Stroll,fixed_weight_0.25,0.25,1.303538944,5.25,2.290154208
driver,stroll,Lance Stroll,fixed_weight_0.50,0.5,1.303538944,5.25,3.276769472
driver,stroll,Lance Stroll,fixed_weight_0.75,0.75,1.303538944,5.25,4.263384736
driver,stroll,Lance Stroll,empirical_bayes,0.4166309052,1.303538944,5.25,2.947756586
