season,round,event_name,driver_event_effect,constructor_event_effect,driver_effects_centred,constructor_effects_centred
2026,2,Chinese Grand Prix,1.421567186,4.474959846,True,True
2026,4,Miami Grand Prix,-0.9865710795,-3.44170682,True,True
2026,5,Canadian Grand Prix,-0.8391196748,-2.525040154,True,True
2026,9,British Grand Prix,0.4041235685,1.491787128,True,True
