season,round,event_name,event_date,entity_type,entity_id,entity_name,total_fantasy_points,sprint_points,sprint_qualifying_points,extra_sprint_points,base_weekend_points,current_price,data_source,observation_valid,exclusion_reason
2026,4,Miami Grand Prix,2026-05-03,driver,albon,Alexander Albon,20,5,,5,15,5.8,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,albon,Alexander Albon,-8,6,,6,-14,5.8,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,albon,Alexander Albon,-13,7,,7,-20,5.8,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,alonso,Fernando Alonso,-7,6,,6,-13,6.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,alonso,Fernando Alonso,20,10,,10,10,6.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,alonso,Fernando Alonso,-26,-9,,-9,-17,6.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,alonso,Fernando Alonso,8,3,,3,5,6.2,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,antonelli,Kimi Antonelli,68,11,,11,57,25.7,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,antonelli,Kimi Antonelli,42,1,,1,41,25.7,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,antonelli,Kimi Antonelli,62,12,,12,50,25.7,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,antonelli,Kimi Antonelli,23,16,,16,7,25.7,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,arvid_lindblad,Arvid Lindblad,7,-4,,-4,11,8,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,arvid_lindblad,Arvid Lindblad,-4,,-10,-10,6,8,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,arvid_lindblad,Arvid Lindblad,-16,2,,2,-18,8,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,arvid_lindblad,Arvid Lindblad,18,4,,4,14,8,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,bearman,Oliver Bearman,34,5,,5,29,7.6,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,bearman,Oliver Bearman,6,3,,3,3,7.6,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,bearman,Oliver Bearman,10,2,,2,8,7.6,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,bearman,Oliver Bearman,13,6,,6,7,7.6,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,bortoleto,Gabriel Bortoleto,-14,6,,6,-20,7.8,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,bortoleto,Gabriel Bortoleto,7,,-10,-10,17,7.8,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,bortoleto,Gabriel Bortoleto,5,2,,2,3,7.8,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,bortoleto,Gabriel Bortoleto,16,3,,3,13,7.8,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,bottas,Valtteri Bottas,3,-8,,-8,11,3,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,bottas,Valtteri Bottas,4,1,,1,3,3,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,bottas,Valtteri Bottas,12,6,,6,6,3,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,bottas,Valtteri Bottas,5,2,,2,3,3,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,colapinto,Franco Colapinto,18,9,,9,9,11.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,colapinto,Franco Colapinto,13,-2,,-2,15,11.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,colapinto,Franco Colapinto,25,8,,8,17,11.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,colapinto,Franco Colapinto,27,7,,7,20,11.2,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,gasly,Pierre Gasly,20,,,,,13,Formula 1 Fantasy playerstats,False,both_sprint_components_missing
2026,4,Miami Grand Prix,2026-05-03,driver,gasly,Pierre Gasly,-8,5,,5,-13,13,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,gasly,Pierre Gasly,16,3,,3,13,13,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,gasly,Pierre Gasly,23,5,,5,18,13,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,hadjar,Isack Hadjar,19,3,,3,16,14.5,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,hadjar,Isack Hadjar,-16,3,,3,-19,14.5,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,hadjar,Isack Hadjar,6,-10,,-10,16,14.5,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,hadjar,Isack Hadjar,23,3,,3,20,14.5,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,hamilton,Lewis Hamilton,48,15,,15,33,25,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,hamilton,Lewis Hamilton,20,4,,4,16,25,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,hamilton,Lewis Hamilton,42,3,,3,39,25,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,hamilton,Lewis Hamilton,33,6,,6,27,25,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,hulkenberg,Nico Hulkenberg,7,-3,,-3,10,3,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,hulkenberg,Nico Hulkenberg,-29,,-10,-10,-19,3,Formula 1 Fantasy playerstats,True,
