season,round,raceName,date,time,circuitName,qualifying_date,qualifying_time,sprint_date,sprint_time,sprint_qualifying_date,sprint_qualifying_time,practice_1_date,practice_1_time,practice_2_date,practice_2_time,practice_3_date,practice_3_time
2025,1,Australian Grand Prix,2025-03-16,04:00:00Z,Albert Park Grand Prix Circuit,2025-03-15,05:00:00Z,,,,,2025-03-14,01:30:00Z,2025-03-14,05:00:00Z,2025-03-15,01:30:00Z
2025,2,Chinese Grand Prix,2025-03-23,07:00:00Z,Shanghai International Circuit,2025-03-22,07:00:00Z,2025-03-22,03:00:00Z,2025-03-21,07:30:00Z,2025-03-21,03:30:00Z,,,,
2025,3,Japanese Grand Prix,2025-04-06,05:00:00Z,Suzuka Circuit,2025-04-05,06:00:00Z,,,,,2025-04-04,02:30:00Z,2025-04-04,06:00:00Z,2025-04-05,02:30:00Z
2025,4,Bahrain Grand Prix,2025-04-13,15:00:00Z,Bahrain International Circuit,2025-04-12,16:00:00Z,,,,,2025-04-11,11:30:00Z,2025-04-11,15:00:00Z,2025-04-12,12:30:00Z
2025,5,Saudi Arabian Grand Prix,2025-04-20,17:00:00Z,Jeddah Corniche Circuit,2025-04-19,17:00:00Z,,,,,2025-04-18,13:30:00Z,2025-04-18,17:00:00Z,2025-04-19,13:30:00Z
2025,6,Miami Grand Prix,2025-05-04,20:00:00Z,Miami International Autodrome,2025-05-03,20:00:00Z,2025-05-03,16:00:00Z,2025-05-02,20:30:00Z,2025-05-02,16:30:00Z,,,,
2025,7,Emilia Romagna Grand Prix,2025-05-18,13:00:00Z,Autodromo Enzo e Dino Ferrari,2025-05-17,14:00:00Z,,,,,2025-05-16,11:30:00Z,2025-05-16,15:00:00Z,2025-05-17,10:30:00Z
2025,8,Monaco Grand Prix,2025-05-25,13:00:00Z,Circuit de Monaco,2025-05-24,14:00:00Z,,,,,2025-05-23,11:30:00Z,2025-05-23,15:00:00Z,2025-05-24,10:30:00Z
2025,9,Spanish Grand Prix,2025-06-01,13:00:00Z,Circuit de Barcelona-Catalunya,2025-05-31,14:00:00Z,,,,,2025-05-30,11:30:00Z,2025-05-30,15:00:00Z,2025-05-31,10:30:00Z
2025,10,Canadian Grand Prix,2025-06-15,18:00:00Z,Circuit Gilles Villeneuve,2025-06-14,20:00:00Z,,,,,2025-06-13,17:30:00Z,2025-06-13,21:00:00Z,2025-06-14,16:30:00Z
2025,11,Austrian Grand Prix,2025-06-29,13:00:00Z,Red Bull Ring,2025-06-28,14:00:00Z,,,,,2025-06-27,11:30:00Z,2025-06-27,15:00:00Z,2025-06-28,10:30:00Z
2025,12,British Grand Prix,2025-07-06,14:00:00Z,Silverstone Circuit,2025-07-05,14:00:00Z,,,,,2025-07-04,11:30:00Z,2025-07-04,15:00:00Z,2025-07-05,10:30:00Z
2025,13,Belgian Grand Prix,2025-07-27,13:00:00Z,Circuit de Spa-Francorchamps,2025-07-26,14:00:00Z,2025-07-26,10:00:00Z,2025-07-25,14:30:00Z,2025-07-25,10:30:00Z,,,,
2025,14,Hungarian Grand Prix,2025-08-03,13:00:00Z,Hungaroring,2025-08-02,14:00:00Z,,,,,2025-08-01,11:30:00Z,2025-08-01,15:00:00Z,2025-08-02,10:30:00Z
2025,15,Dutch Grand Prix,2025-08-31,13:00:00Z,Circuit Park Zandvoort,2025-08-30,13:00:00Z,,,,,2025-08-29,10:30:00Z,2025-08-29,14:00:00Z,2025-08-30,09:30:00Z
2025,16,Italian Grand Prix,2025-09-07,13:00:00Z,Autodromo Nazionale di Monza,2025-09-06,14:00:00Z,,,,,2025-09-05,11:30:00Z,2025-09-05,15:00:00Z,2025-09-06,10:30:00Z
2025,17,Azerbaijan Grand Prix,2025-09-21,11:00:00Z,Baku City Circuit,2025-09-20,12:00:00Z,,,,,2025-09-19,08:30:00Z,2025-09-19,12:00:00Z,2025-09-20,08:30:00Z
2025,18,Singapore Grand Prix,2025-10-05,12:00:00Z,Marina Bay Street Circuit,2025-10-04,13:00:00Z,,,,,2025-10-03,09:30:00Z,2025-10-03,13:00:00Z,2025-10-04,09:30:00Z
2025,19,United States Grand Prix,2025-10-19,19:00:00Z,Circuit of the Americas,2025-10-18,21:00:00Z,2025-10-18,17:00:00Z,2025-10-17,21:30:00Z,2025-10-17,17:30:00Z,,,,
2025,20,Mexico City Grand Prix,2025-10-26,20:00:00Z,Autódromo Hermanos Rodríguez,2025-10-25,21:00:00Z,,,,,2025-10-24,18:30:00Z,2025-10-24,22:00:00Z,2025-10-25,17:30:00Z
2025,21,São Paulo Grand Prix,2025-11-09,17:00:00Z,Autódromo José Carlos Pace,2025-11-08,18:00:00Z,2025-11-08,14:00:00Z,2025-11-07,18:30:00Z,2025-11-07,14:30:00Z,,,,
2025,22,Las Vegas Grand Prix,2025-11-23,04:00:00Z,Las Vegas Strip Street Circuit,2025-11-22,04:00:00Z,,,,,2025-11-21,00:30:00Z,2025-11-21,04:00:00Z,2025-11-22,00:30:00Z
2025,23,Qatar Grand Prix,2025-11-30,16:00:00Z,Losail International Circuit,2025-11-29,18:00:00Z,2025-11-29,14:00:00Z,2025-11-28,17:30:00Z,2025-11-28,13:30:00Z,,,,
2025,24,Abu Dhabi Grand Prix,2025-12-07,13:00:00Z,Yas Marina Circuit,2025-12-06,14:00:00Z,,,,,2025-12-05,09:30:00Z,2025-12-05,13:00:00Z,2025-12-06,10:30:00Z
