season,round,raceName,date,time,circuitName,qualifying_date,qualifying_time,sprint_date,sprint_time,sprint_qualifying_date,sprint_qualifying_time,practice_1_date,practice_1_time,practice_2_date,practice_2_time,practice_3_date,practice_3_time
2023,1,Bahrain Grand Prix,2023-03-05,15:00:00Z,Bahrain International Circuit,2023-03-04,15:00:00Z,,,,,2023-03-03,11:30:00Z,2023-03-03,15:00:00Z,2023-03-04,11:30:00Z
2023,2,Saudi Arabian Grand Prix,2023-03-19,17:00:00Z,Jeddah Corniche Circuit,2023-03-18,17:00:00Z,,,,,2023-03-17,13:30:00Z,2023-03-17,17:00:00Z,2023-03-18,13:30:00Z
2023,3,Australian Grand Prix,2023-04-02,05:00:00Z,Albert Park Grand Prix Circuit,2023-04-01,05:00:00Z,,,,,2023-03-31,01:30:00Z,2023-03-31,05:00:00Z,2023-04-01,01:30:00Z
2023,4,Azerbaijan Grand Prix,2023-04-30,11:00:00Z,Baku City Circuit,2023-04-28,13:00:00Z,2023-04-29,13:30:00Z,,,2023-04-28,09:30:00Z,,,,
2023,5,Miami Grand Prix,2023-05-07,19:30:00Z,Miami International Autodrome,2023-05-06,20:00:00Z,,,,,2023-05-05,18:00:00Z,2023-05-05,21:30:00Z,2023-05-06,16:30:00Z
2023,6,Monaco Grand Prix,2023-05-28,13:00:00Z,Circuit de Monaco,2023-05-27,14:00:00Z,,,,,2023-05-26,11:30:00Z,2023-05-26,15:00:00Z,2023-05-27,10:30:00Z
2023,7,Spanish Grand Prix,2023-06-04,13:00:00Z,Circuit de Barcelona-Catalunya,2023-06-03,14:00:00Z,,,,,2023-06-02,11:30:00Z,2023-06-02,15:00:00Z,2023-06-03,10:30:00Z
2023,8,Canadian Grand Prix,2023-06-18,18:00:00Z,Circuit Gilles Villeneuve,2023-06-17,20:00:00Z,,,,,2023-06-16,17:30:00Z,2023-06-16,21:00:00Z,2023-06-17,16:30:00Z
2023,9,Austrian Grand Prix,2023-07-02,13:00:00Z,Red Bull Ring,2023-06-30,15:00:00Z,2023-07-01,14:30:00Z,,,2023-06-30,11:30:00Z,,,,
2023,10,British Grand Prix,2023-07-09,14:00:00Z,Silverstone Circuit,2023-07-08,14:00:00Z,,,,,2023-07-07,11:30:00Z,2023-07-07,15:00:00Z,2023-07-08,10:30:00Z
2023,11,Hungarian Grand Prix,2023-07-23,13:00:00Z,Hungaroring,2023-07-22,14:00:00Z,,,,,2023-07-21,11:30:00Z,2023-07-21,15:00:00Z,2023-07-22,10:30:00Z
2023,12,Belgian Grand Prix,2023-07-30,13:00:00Z,Circuit de Spa-Francorchamps,2023-07-28,15:00:00Z,2023-07-29,14:30:00Z,,,2023-07-28,11:30:00Z,,,,
2023,13,Dutch Grand Prix,2023-08-27,13:00:00Z,Circuit Park Zandvoort,2023-08-26,13:00:00Z,,,,,2023-08-25,10:30:00Z,2023-08-25,14:00:00Z,2023-08-26,09:30:00Z
2023,14,Italian Grand Prix,2023-09-03,13:00:00Z,Autodromo Nazionale di Monza,2023-09-02,14:00:00Z,,,,,2023-09-01,11:30:00Z,2023-09-01,15:00:00Z,2023-09-02,10:30:00Z
2023,15,Singapore Grand Prix,2023-09-17,12:00:00Z,Marina Bay Street Circuit,2023-09-16,13:00:00Z,,,,,2023-09-15,09:30:00Z,2023-09-15,13:00:00Z,2023-09-16,09:30:00Z
2023,16,Japanese Grand Prix,2023-09-24,05:00:00Z,Suzuka Circuit,2023-09-23,06:00:00Z,,,,,2023-09-22,02:30:00Z,2023-09-22,06:00:00Z,2023-09-23,02:30:00Z
2023,17,Qatar Grand Prix,2023-10-08,17:00:00Z,Losail International Circuit,2023-10-06,17:00:00Z,2023-10-07,17:30:00Z,,,2023-10-06,13:30:00Z,,,,
2023,18,United States Grand Prix,2023-10-22,19:00:00Z,Circuit of the Americas,2023-10-20,21:00:00Z,2023-10-21,22:00:00Z,,,2023-10-20,17:30:00Z,,,,
2023,19,Mexico City Grand Prix,2023-10-29,20:00:00Z,Autódromo Hermanos Rodríguez,2023-10-28,21:00:00Z,,,,,2023-10-27,18:30:00Z,2023-10-27,22:00:00Z,2023-10-28,17:30:00Z
2023,20,São Paulo Grand Prix,2023-11-05,17:00:00Z,Autódromo José Carlos Pace,2023-11-03,18:00:00Z,2023-11-04,18:30:00Z,,,2023-11-03,14:30:00Z,,,,
2023,21,Las Vegas Grand Prix,2023-11-19,06:00:00Z,Las Vegas Strip Street Circuit,2023-11-17,08:00:00Z,,,,,2023-11-16,04:30:00Z,2023-11-16,08:00:00Z,2023-11-17,04:30:00Z
2023,22,Abu Dhabi Grand Prix,2023-11-26,13:00:00Z,Yas Marina Circuit,2023-11-25,14:00:00Z,,,,,2023-11-24,09:30:00Z,2023-11-24,13:00:00Z,2023-11-25,10:30:00Z
