entity_type,bootstrap_samples,random_seed,estimate,p2_5,p50,p97_5
driver,10000,20260806,1.3425024009,1.226512937,1.34156442717,1.46538092878
constructor,10000,20260806,1.25045411013,1.16357366338,1.25006268143,1.34482419025
