season,round,event_name,event_date,weekend_format,driver_rows,driver_active_asset_count,driver_total_points,driver_mean_points_per_asset,driver_median_points_per_asset,driver_min_points,driver_max_points,driver_negative_score_count,driver_zero_score_count,constructor_rows,constructor_active_asset_count,constructor_total_points,constructor_mean_points_per_asset,constructor_median_points_per_asset,constructor_min_points,constructor_max_points,constructor_negative_score_count,constructor_zero_score_count,driver_event_mean_zscore,driver_extreme_event,constructor_event_mean_zscore,constructor_extreme_event
2024,12,British Grand Prix,2024-07-07,normal,20,20,209,10.45,6.5,-20,47,3,0,10,10,270,27,30.5,-12,59,1,0,-0.459047466572,False,-0.653229343128,False
2024,13,Hungarian Grand Prix,2024-07-21,normal,20,20,221,11.05,7,-19,46,1,2,10,10,285,28.5,24,-10,74,1,0,-0.251260936874,False,-0.399512104799,False
2024,14,Belgian Grand Prix,2024-07-28,normal,20,20,203,10.15,7.5,-21,46,2,0,10,10,263,26.3,19.5,-14,69,1,0,-0.562940731421,False,-0.771630721015,False
2024,15,Dutch Grand Prix,2024-08-25,normal,20,20,229,11.45,6.5,-3,56,3,1,10,10,292,29.2,17,-2,81,2,0,-0.112736583742,False,-0.281110726912,False
2024,16,Italian Grand Prix,2024-09-01,normal,20,20,231,11.55,7.5,-17,46,2,0,10,10,293,29.3,20,-15,83,1,0,-0.0781054954594,False,-0.264196244357,False
2024,17,Azerbaijan Grand Prix,2024-09-15,normal,20,20,216,10.8,7,-19,47,5,0,10,10,278,27.8,21.5,-14,85,1,0,-0.337838657582,False,-0.517913482686,False
2024,18,Singapore Grand Prix,2024-09-22,normal,20,20,227,11.35,7.5,-16,35,2,0,10,10,288,28.8,20,-7,81,1,0,-0.147367672025,False,-0.348768657133,False
2024,19,United States Grand Prix,2024-10-20,sprint,20,20,320,16,10.5,-10,55,3,0,10,10,379,37.9,26.5,5,97,0,0,1.46297793313,False,1.1904492554,False
2024,20,Mexico City Grand Prix,2024-10-27,normal,20,20,227,11.35,10,-20,47,3,0,10,10,292,29.2,27.5,-13,82,3,0,-0.147367672025,False,-0.281110726912,False
2024,21,São Paulo Grand Prix,2024-11-03,sprint,20,20,226,11.3,14.5,-42,77,6,0,10,10,287,28.7,30,-29,96,3,0,-0.164683216167,False,-0.365683139688,False
2024,22,Las Vegas Grand Prix,2024-11-23,normal,20,20,264,13.2,10.5,-16,46,3,0,10,10,323,32.3,21.5,-12,82,2,0,0.493307461209,False,0.243238232302,False
2024,23,Qatar Grand Prix,2024-12-01,sprint,20,20,244,12.2,15,-16,39,5,0,10,10,306,30.6,24.5,-12,76,1,0,0.14699657838,False,-0.0443079711381,False
2024,24,Abu Dhabi Grand Prix,2024-12-08,normal,20,20,230,11.5,10.5,-20,55,4,0,10,10,290,29,22.5,-10,82,2,0,-0.0954210396009,False,-0.314939692022,False
2025,1,Australian Grand Prix,2025-03-16,normal,20,20,121,6.05,6,-20,59,6,1,10,10,197,19.7,12,-14,71,2,0,-1.98281535102,False,-1.88798656966,False
2025,2,Chinese Grand Prix,2025-03-23,sprint,20,20,282,14.1,11,-16,45,4,0,10,10,339,33.9,34,-23,101,2,0,0.804987255756,False,0.513869953186,False
2025,3,Japanese Grand Prix,2025-04-06,normal,20,20,204,10.2,7,-4,36,2,1,10,10,290,29,16.5,0,71,0,1,-0.545625187279,False,-0.314939692022,False
2025,4,Bahrain Grand Prix,2025-04-13,normal,20,20,281,14.05,13.5,-20,45,2,0,10,10,364,36.4,31,-22,92,1,0,0.787671711615,False,0.936732017068,False
2025,5,Saudi Arabian Grand Prix,2025-04-20,normal,20,20,209,10.45,7.5,-17,38,2,0,10,10,289,28.9,19.5,-6,86,1,0,-0.459047466572,False,-0.331854174578,False
2025,6,Miami Grand Prix,2025-05-04,sprint,20,20,245,12.25,10,-14,58,6,2,10,10,328,32.8,22,-6,118,1,0,0.164312122521,False,0.327810645078,False
2025,7,Emilia Romagna Grand Prix,2025-05-18,normal,20,20,210,10.5,7.5,-19,57,4,1,10,10,316,31.6,19,-13,82,1,0,-0.441731922431,False,0.124836854415,False
2025,8,Monaco Grand Prix,2025-05-25,normal,20,20,156,7.8,5,-20,45,5,0,10,10,250,25,19.5,-11,83,2,0,-1.37677130607,False,-0.991518994234,False
2025,9,Spanish Grand Prix,2025-06-01,normal,20,20,214,10.7,10.5,-20,45,3,1,10,10,318,31.8,29.5,-8,88,1,0,-0.372469745865,False,0.158665819525,False
2025,10,Canadian Grand Prix,2025-06-15,normal,20,20,222,11.1,11,-20,47,3,0,10,10,325,32.5,28.5,-4,87,1,0,-0.233945392733,False,0.277067197412,False
2025,11,Austrian Grand Prix,2025-06-29,normal,20,20,204,10.2,12.5,-20,39,4,0,10,10,308,30.8,29,-36,100,1,0,-0.545625187279,False,-0.0104790060275,False
