excluded_season,driver_multiplier,constructor_multiplier,change_from_full_driver_estimate,change_from_full_constructor_estimate
2023,1.39134928445,1.27515243526,0.0488468835479,0.0246983251311
2024,1.32879567403,1.23174093639,-0.0137067268724,-0.0187131737407
2025,1.36515670806,1.28495479743,0.0226543071541,0.0345006873028
2026,1.29380771848,1.21642435689,-0.0486946824223,-0.0340297532357
