season,round,event_name,event_date,entity_type,entity_id,entity_name,total_fantasy_points,sprint_points,sprint_qualifying_points,extra_sprint_points,base_weekend_points,current_price,data_source,observation_valid,exclusion_reason
2026,2,Chinese Grand Prix,2026-03-15,constructor,rb,Racing Bulls,50.0,10.0,,10.0,40.0,13.5,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,rb,Racing Bulls,2.0,-6.0,,-6.0,8.0,13.5,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,rb,Racing Bulls,22.0,13.0,,13.0,9.0,13.5,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,rb,Racing Bulls,55.0,10.0,,10.0,45.0,13.5,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,rb,Racing Bulls,22.0,-1.0,,-1.0,23.0,13.5,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,red_bull,Red Bull Racing,45.0,18.0,,18.0,27.0,31.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,red_bull,Red Bull Racing,31.0,9.0,,9.0,22.0,31.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,red_bull,Red Bull Racing,44.0,-8.0,,-8.0,52.0,31.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,red_bull,Red Bull Racing,32.0,6.0,,6.0,26.0,31.2,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,red_bull,Red Bull Racing,11.0,3.0,,3.0,8.0,31.2,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,williams,Williams,22.0,25.0,,25.0,-3.0,13.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,williams,Williams,42.0,9.0,,9.0,33.0,13.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,williams,Williams,6.0,6.0,,6.0,0.0,13.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,williams,Williams,,,,,,13.2,missing,False,missing_canonical_event_asset_row
2026,12,Dutch Grand Prix,2026-08-23,constructor,williams,Williams,15.0,4.0,,4.0,11.0,13.2,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,albon,Alexander Albon,-7.0,13.0,,13.0,-20.0,5.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,albon,Alexander Albon,20.0,5.0,,5.0,15.0,5.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,albon,Alexander Albon,-8.0,6.0,,6.0,-14.0,5.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,albon,Alexander Albon,-13.0,7.0,,7.0,-20.0,5.2,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,albon,Alexander Albon,2.0,1.0,,1.0,1.0,5.2,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,alonso,Fernando Alonso,-7.0,6.0,,6.0,-13.0,6.8,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,alonso,Fernando Alonso,20.0,10.0,,10.0,10.0,6.8,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,alonso,Fernando Alonso,-26.0,-9.0,,-9.0,-17.0,6.8,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,alonso,Fernando Alonso,8.0,3.0,,3.0,5.0,6.8,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,alonso,Fernando Alonso,24.0,8.0,,8.0,16.0,6.8,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,antonelli,Kimi Antonelli,68.0,11.0,,11.0,57.0,26.0,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,antonelli,Kimi Antonelli,42.0,1.0,,1.0,41.0,26.0,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,antonelli,Kimi Antonelli,62.0,12.0,,12.0,50.0,26.0,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,antonelli,Kimi Antonelli,23.0,16.0,,16.0,7.0,26.0,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,antonelli,Kimi Antonelli,37.0,7.0,,7.0,30.0,26.0,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,arvid_lindblad,Arvid Lindblad,7.0,-4.0,,-4.0,11.0,7.8,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,arvid_lindblad,Arvid Lindblad,-4.0,,-10.0,-10.0,6.0,7.8,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,arvid_lindblad,Arvid Lindblad,-16.0,2.0,,2.0,-18.0,7.8,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,arvid_lindblad,Arvid Lindblad,18.0,4.0,,4.0,14.0,7.8,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,arvid_lindblad,Arvid Lindblad,7.0,,,,,7.8,Formula 1 Fantasy playerstats,False,both_sprint_components_missing
2026,2,Chinese Grand Prix,2026-03-15,driver,bearman,Oliver Bearman,34.0,5.0,,5.0,29.0,7.0,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,bearman,Oliver Bearman,6.0,3.0,,3.0,3.0,7.0,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,bearman,Oliver Bearman,10.0,2.0,,2.0,8.0,7.0,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,bearman,Oliver Bearman,13.0,6.0,,6.0,7.0,7.0,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,bearman,Oliver Bearman,-13.0,4.0,,4.0,-17.0,7.0,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,bortoleto,Gabriel Bortoleto,-14.0,6.0,,6.0,-20.0,8.0,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,bortoleto,Gabriel Bortoleto,7.0,,-10.0,-10.0,17.0,8.0,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,bortoleto,Gabriel Bortoleto,5.0,2.0,,2.0,3.0,8.0,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,bortoleto,Gabriel Bortoleto,16.0,3.0,,3.0,13.0,8.0,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,bortoleto,Gabriel Bortoleto,5.0,,,,,8.0,Formula 1 Fantasy playerstats,False,both_sprint_components_missing
2026,2,Chinese Grand Prix,2026-03-15,driver,bottas,Valtteri Bottas,3.0,-8.0,,-8.0,11.0,3.0,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,bottas,Valtteri Bottas,4.0,1.0,,1.0,3.0,3.0,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,bottas,Valtteri Bottas,12.0,6.0,,6.0,6.0,3.0,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,bottas,Valtteri Bottas,5.0,2.0,,2.0,3.0,3.0,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,bottas,Valtteri Bottas,-18.0,1.0,,1.0,-19.0,3.0,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,colapinto,Franco Colapinto,18.0,9.0,,9.0,9.0,10.6,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,colapinto,Franco Colapinto,13.0,-2.0,,-2.0,15.0,10.6,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,colapinto,Franco Colapinto,25.0,8.0,,8.0,17.0,10.6,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,colapinto,Franco Colapinto,27.0,7.0,,7.0,20.0,10.6,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,colapinto,Franco Colapinto,6.0,2.0,,2.0,4.0,10.6,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,gasly,Pierre Gasly,20.0,,,,,12.4,Formula 1 Fantasy playerstats,False,both_sprint_components_missing
2026,4,Miami Grand Prix,2026-05-03,driver,gasly,Pierre Gasly,-8.0,5.0,,5.0,-13.0,12.4,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,gasly,Pierre Gasly,16.0,3.0,,3.0,13.0,12.4,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,gasly,Pierre Gasly,23.0,5.0,,5.0,18.0,12.4,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,gasly,Pierre Gasly,8.0,1.0,,1.0,7.0,12.4,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,hadjar,Isack Hadjar,19.0,3.0,,3.0,16.0,13.9,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,hadjar,Isack Hadjar,-16.0,3.0,,3.0,-19.0,13.9,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,hadjar,Isack Hadjar,6.0,-10.0,,-10.0,16.0,13.9,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,hadjar,Isack Hadjar,23.0,3.0,,3.0,20.0,13.9,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,hadjar,Isack Hadjar,,,,,,13.9,missing,False,missing_canonical_event_asset_row
2026,2,Chinese Grand Prix,2026-03-15,driver,hamilton,Lewis Hamilton,48.0,15.0,,15.0,33.0,25.1,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,hamilton,Lewis Hamilton,20.0,4.0,,4.0,16.0,25.1,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,hamilton,Lewis Hamilton,42.0,3.0,,3.0,39.0,25.1,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,hamilton,Lewis Hamilton,33.0,6.0,,6.0,27.0,25.1,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,hamilton,Lewis Hamilton,23.0,2.0,,2.0,21.0,25.1,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,hulkenberg,Nico Hulkenberg,7.0,-3.0,,-3.0,10.0,3.6,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,hulkenberg,Nico Hulkenberg,-29.0,,-10.0,-10.0,-19.0,3.6,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,hulkenberg,Nico Hulkenberg,1.0,-1.0,,-1.0,2.0,3.6,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,hulkenberg,Nico Hulkenberg,-7.0,3.0,,3.0,-10.0,3.6,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,hulkenberg,Nico Hulkenberg,5.0,,-10.0,-10.0,15.0,3.6,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,lawson,Liam Lawson,35.0,14.0,,14.0,21.0,14.3,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,lawson,Liam Lawson,-12.0,4.0,,4.0,-16.0,14.3,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,lawson,Liam Lawson,23.0,11.0,,11.0,12.0,14.3,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,lawson,Liam Lawson,22.0,6.0,,6.0,16.0,14.3,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,lawson,Liam Lawson,12.0,,,,,14.3,Formula 1 Fantasy playerstats,False,both_sprint_components_missing
2026,2,Chinese Grand Prix,2026-03-15,driver,leclerc,Charles Leclerc,51.0,21.0,,21.0,30.0,24.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,leclerc,Charles Leclerc,27.0,8.0,,8.0,19.0,24.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,leclerc,Charles Leclerc,27.0,6.0,,6.0,21.0,24.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,leclerc,Charles Leclerc,54.0,8.0,,8.0,46.0,24.2,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,leclerc,Charles Leclerc,39.0,9.0,,9.0,30.0,24.2,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,max_verstappen,Max Verstappen,14.0,15.0,,15.0,-1.0,27.5,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,max_verstappen,Max Verstappen,52.0,6.0,,6.0,46.0,27.5,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,max_verstappen,Max Verstappen,26.0,2.0,,2.0,24.0,27.5,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,max_verstappen,Max Verstappen,-3.0,3.0,,3.0,-6.0,27.5,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,max_verstappen,Max Verstappen,-13.0,3.0,,3.0,-16.0,27.5,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,norris,Lando Norris,-10.0,5.0,,5.0,-15.0,26.4,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,norris,Lando Norris,54.0,13.0,,13.0,41.0,26.4,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,norris,Lando Norris,6.0,9.0,,9.0,-3.0,26.4,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,norris,Lando Norris,38.0,14.0,,14.0,24.0,26.4,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,norris,Lando Norris,57.0,10.0,,10.0,47.0,26.4,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,ocon,Esteban Ocon,24.0,9.0,,9.0,15.0,10.1,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,ocon,Esteban Ocon,14.0,9.0,,9.0,5.0,10.1,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,ocon,Esteban Ocon,8.0,3.0,,3.0,5.0,10.1,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,ocon,Esteban Ocon,19.0,6.0,,6.0,13.0,10.1,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,ocon,Esteban Ocon,-10.0,2.0,,2.0,-12.0,10.1,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,perez,Sergio Perez,20.0,9.0,,9.0,11.0,3.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,perez,Sergio Perez,19.0,4.0,,4.0,15.0,3.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,perez,Sergio Perez,-11.0,5.0,,5.0,-16.0,3.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,perez,Sergio Perez,7.0,-3.0,,-3.0,10.0,3.2,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,perez,Sergio Perez,8.0,-1.0,,-1.0,9.0,3.2,Formula 1 Fantasy playerstats,True,
