entity,entity_type,entity_id,current_price,normal_ev,form_percentile,price_percentile,observed_sprint_count,observed_mean_sprint_bonus,observed_median_sprint_bonus,selected_strength_definition,selected_strength,group_bonus,empirical_bayes_weight,personal_mean_contribution,group_contribution,final_sprint_bonus,normal_weekend_ev,sprint_weekend_ev,absolute_sprint_uplift,effective_multiplier,effective_multiplier_status,constant_bonus_candidate,strength_only_candidate,personal_mean_candidate,shrunk_personal_mean_candidate,full_partial_pooling_candidate,future_event_effect
Liam Lawson,driver,lawson,14.3,8.45454545455,0.565217391304,0.695652173913,4,8.75,8.5,z_form,-0.0927964346477,4.49622310178,0.465962459223,4.0771715182,2.40115192806,6.47832344626,8.45454545455,14.9328689008,6.47832344626,1.76625331085,defined,4.75961538462,4.49622310178,8.75,6.47832344626,6.844164258,0
Franco Colapinto,driver,colapinto,10.6,9.54545454545,0.608695652174,0.565217391304,5,4.8,7,z_form,0.00714561515497,4.72274506322,0.52168201533,2.50407367358,2.25897390075,4.76304757433,9.54545454545,14.3085021198,4.76304757433,1.49898593636,defined,4.75961538462,4.72274506322,4.8,4.76304757433,5.388725318,0
Pierre Gasly,driver,gasly,12.4,9.90909090909,0.652173913043,0.608695652174,4,3.5,4,z_form,0.0404596317558,4.7982523837,0.465962459223,1.63086860728,2.56244690302,4.1933155103,9.90909090909,14.1024064194,4.1933155103,1.42317862948,defined,4.75961538462,4.7982523837,3.5,4.1933155103,5.087686893,0
Esteban Ocon,driver,ocon,10.1,6.75,0.521739130435,0.521739130435,5,5.8,6,z_form,-0.248955887464,4.14228253703,0.52168201533,3.02575568891,1.98132823505,5.00708392396,6.75,11.757083924,5.00708392396,1.74179021096,defined,4.75961538462,4.14228253703,5.8,5.00708392396,5.844164258,0
Carlos Sainz,driver,sainz,9.8,5.1,0.347826086957,0.478260869565,3,6.33333333333,4,z_form,-0.400118237791,3.79966807035,0.395549668486,2.50514790041,2.29671062477,4.80185852518,5.1,9.90185852518,4.80185852518,1.94154088729,defined,4.75961538462,3.79966807035,6.33333333333,4.80185852518,5.442273053,0
Yuki Tsunoda,driver,tsunoda,9.7,6,0.434782608696,0.434782608696,1,-1,-1,z_form,-0.317666046704,3.98654868854,0.179070826998,-0.179070826998,3.27267411802,3.09360329102,6,9.09360329102,3.09360329102,1.5156005485,defined,4.75961538462,3.98654868854,-1,3.09360329102,,0
Gabriel Bortoleto,driver,bortoleto,8,5.81818181818,0.391304347826,0.391304347826,4,0.25,2.5,z_form,-0.334323055004,3.9487950283,0.465962459223,0.116490614806,2.10880478595,2.22529540075,5.81818181818,8.04347721893,2.22529540075,1.382472647,defined,4.75961538462,3.9487950283,0.25,2.22529540075,2.322491841,0
Arvid Lindblad,driver,arvid_lindblad,7.8,6.54545454545,0.478260869565,0.347826086957,4,-2,-1,z_form,-0.267695021802,4.09980966926,0.465962459223,-0.931924918446,2.18945227343,1.25752735498,6.54545454545,7.80298190043,1.25752735498,1.19212223479,defined,4.75961538462,4.09980966926,-2,1.25752735498,1.272435956,0
Oliver Bearman,driver,bearman,7,3,0.304347826087,0.304347826087,5,4,4,z_form,-0.592506683661,3.36361329458,0.52168201533,2.08672806132,1.60887673227,3.69560479359,3,6.69560479359,3.69560479359,2.23186826453,defined,4.75961538462,3.36361329458,4,3.69560479359,4.094443683,0
Fernando Alonso,driver,alonso,6.8,0.916666666667,0.260869565217,0.260869565217,5,3.6,6,z_form,-0.783368237103,2.931019271,0.52168201533,1.87805525519,1.40195923073,3.28001448592,0.916666666667,4.19668115259,3.28001448592,,undefined,4.75961538462,2.931019271,3.6,3.28001448592,2.801098851,0
Sergio Perez,driver,perez,3.2,-0.0833333333333,0.217391304348,0.130434782609,5,2.8,4,z_form,-0.874981782756,2.72337413968,0.52168201533,1.46070964292,1.30263882999,2.76334847292,-0.0833333333333,2.68001513959,2.76334847292,,undefined,4.75961538462,2.72337413968,2.8,2.76334847292,3.379258779,0
Alexander Albon,driver,albon,5.2,-2,0.130434782609,0.217391304348,5,6.4,6,z_form,-1.05057441192,2.32538763799,0.52168201533,3.33876489811,1.11227472858,4.45103962669,-2,2.45103962669,4.45103962669,,undefined,4.75961538462,2.32538763799,6.4,4.45103962669,5.238738563,0
Nico Hulkenberg,driver,hulkenberg,3.6,-0.5,0.173913043478,0.173913043478,5,-4.2,-3,z_form,-0.913154093444,2.63685533496,0.52168201533,-2.19106446439,1.26125532969,-0.9298091347,-0.5,-1.4298091347,-0.9298091347,,undefined,4.75961538462,2.63685533496,-4.2,-0.9298091347,0.02621062086,0
Valtteri Bottas,driver,bottas,3,-6.66666666667,0.0869565217391,0.0652173913043,5,0.4,1,z_form,-1.47810429163,1.35637702516,0.52168201533,0.208672806132,0.648779525127,0.857452331259,-6.66666666667,-5.80921433541,0.857452331259,,undefined,4.75961538462,1.35637702516,0.4,0.857452331259,1.151490046,0
Lance Stroll,driver,stroll,3,-9.41666666667,0.0434782608696,0.0652173913043,5,4.6,3,z_form,-1.73004154218,0.785352914031,0.52168201533,2.39973727052,0.375648423094,2.77538569361,-9.41666666667,-6.64128097305,2.77538569361,,undefined,4.75961538462,0.785352914031,4.6,2.77538569361,3.276769472,0
