decay,history_mode,objective,budget,driver_slots,constructor_slots,drs_multiplier,chip,locked_driver_count,excluded_driver_count,locked_constructor_count,excluded_constructor_count,transfer_constraint,driver_ids_out,driver_ids_in,constructor_ids_out,constructor_ids_in,overlap_count,swap_count,production_ev_difference_shadow_minus_production_team,shadow_ev_difference_shadow_minus_production_team,production_penalty_of_shadow_team,shadow_advantage_of_shadow_team,selected_by,scored_by,predicted_score
0.850000000000,current_season_only,Combined points + price growth,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,,,,,7,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,production_ev,production_ev,224.610042007973
0.850000000000,current_season_only,Combined points + price growth,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,,,,,7,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,production_ev,sprint_shadow_ev,269.777543895689
0.850000000000,current_season_only,Combined points + price growth,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,,,,,7,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,sprint_shadow_ev,production_ev,224.610042007973
0.850000000000,current_season_only,Combined points + price growth,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,,,,,7,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,sprint_shadow_ev,sprint_shadow_ev,269.777543895689
0.850000000000,all_supported,Points only,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,"11032, 11149, 121, 131","11051, 11161, 114, 118",,,3,4,-7.140811608669,34.126109019988,7.140811608669,34.126109019988,production_ev,production_ev,208.380473557279
0.850000000000,all_supported,Points only,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,"11032, 11149, 121, 131","11051, 11161, 114, 118",,,3,4,-7.140811608669,34.126109019988,7.140811608669,34.126109019988,production_ev,sprint_shadow_ev,250.504292325091
0.850000000000,all_supported,Points only,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,"11032, 11149, 121, 131","11051, 11161, 114, 118",,,3,4,-7.140811608669,34.126109019988,7.140811608669,34.126109019988,sprint_shadow_ev,production_ev,201.239661948610
0.850000000000,all_supported,Points only,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,"11032, 11149, 121, 131","11051, 11161, 114, 118",,,3,4,-7.140811608669,34.126109019988,7.140811608669,34.126109019988,sprint_shadow_ev,sprint_shadow_ev,284.630401345079
0.850000000000,all_supported,Combined points + price growth,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,131,11161,,,6,1,-7.282561148160,22.122627619948,7.282561148160,22.122627619948,production_ev,production_ev,194.184530190947
0.850000000000,all_supported,Combined points + price growth,117.000000000000,5,2,2.000000000000,none,0,0,0,0,not_applicable_fresh_team_optimisation,131,11161,,,6,1,-7.282561148160,22.122627619948,7.282561148160,22.122627619948,production_ev,sprint_shadow_ev,247.654916275741
