history_mode,sprint_shadow_history,production_team,shadow_team,production_team_score,shadow_team_score,swap_count,overlap_count,shadow_advantage,production_penalty
current_season_only,2026_only,"Esteban Ocon, Gabriel Bortoleto, Kimi Antonelli, Liam Lawson, Nico Hulkenberg | Ferrari, Mercedes | 2x Kimi Antonelli","Esteban Ocon, Gabriel Bortoleto, Kimi Antonelli, Liam Lawson, Nico Hulkenberg | Ferrari, Mercedes | 2x Kimi Antonelli",239.751188726804,284.630401345079,0,7,0.000000000000,0.000000000000
all_supported,2026_only,"Arvid Lindblad, Isack Hadjar, Max Verstappen, Nico Hulkenberg, Sergio Perez | Ferrari, Mercedes | 2x Max Verstappen","Esteban Ocon, Gabriel Bortoleto, Kimi Antonelli, Liam Lawson, Nico Hulkenberg | Ferrari, Mercedes | 2x Kimi Antonelli",208.380473557279,284.630401345079,4,3,34.126109019988,7.140811608669
