asset_id,entity,entity_type,current_price,production_ev,shadow_normal_ev,shadow_sprint_bonus,shadow_sprint_ev,shadow_personal_mean_bonus,shadow_personal_weight,shadow_group_bonus,shadow_strength,shadow_valid_race_count,shadow_minus_production,baseline_difference,production_points_per_million,shadow_points_per_million,production_rank,shadow_rank,rank_change,absolute_rank_change
28,Mercedes,constructor,32.600000000000,64.833054756895,66.824888027681,17.151938825506,83.976826853186,,,17.151938825506,1.000000000000,11,19.143772096291,1.991833270785,1.988744010948,2.575976283840,1,1,0,0
25,Ferrari,constructor,26.600000000000,62.914358551279,64.049216606441,14.941362777350,78.990579383791,,,14.941362777350,0.863636363636,11,16.076220832511,1.134858055161,2.365201449296,2.969570653526,2,2,0,0
27,McLaren,constructor,31.000000000000,58.295061137619,46.786163814678,13.467645411913,60.253809226591,,,13.467645411913,0.772727272727,11,1.958748088972,-11.508897322941,1.880485843149,1.943671265374,3,4,-1,1
29,Red Bull Racing,constructor,30.900000000000,56.929592252131,49.266341511377,14.204504094631,63.470845606009,,,14.204504094631,0.818181818182,11,6.541253353878,-7.663250740753,1.842381626283,2.054072673334,4,3,1,1
2636,Racing Bulls,constructor,12.900000000000,25.017990311329,31.014678541800,10.520210681039,41.534889222839,,,10.520210681039,0.590909090909,11,16.516898911510,5.996688230471,1.939379093901,3.219758854484,5,5,0,0
23,Alpine,constructor,18.800000000000,22.162966725701,25.640667553010,10.151781339679,35.792448892689,,,10.151781339679,0.568181818182,11,13.629482166989,3.477700827309,1.178881208814,1.903853664505,6,6,0,0
26,Haas F1 Team,constructor,12.000000000000,17.088345332664,13.858877925631,6.835917267446,20.694795193077,,,6.835917267446,0.363636363636,11,3.606449860413,-3.229467407033,1.424028777722,1.724566266090,7,8,-1,1
2640,Audi,constructor,6.800000000000,13.192058850992,15.324574894445,7.572775950164,22.897350844610,,,7.572775950164,0.409090909091,10,9.705291993617,2.132516043453,1.940008654558,3.367257477148,8,7,1,1
210,Williams,constructor,13.000000000000,11.613246107301,8.958122907053,6.467487926087,15.425610833140,,,6.467487926087,0.340909090909,10,3.812364725838,-2.655123200248,0.893326623639,1.186585448703,9,9,0,0
24,Aston Martin,constructor,5.700000000000,8.734088382716,-1.860094578206,3.888482536572,2.028387958365,,,3.888482536572,0.181818181818,11,-6.705700424351,-10.594182960923,1.532296207494,0.355857536555,10,10,0,0
2641,Cadillac,constructor,3.000000000000,-11.109852740902,-12.057538630621,2.414765171135,-9.642773459487,,,2.414765171135,0.090909090909,11,1.467079281415,-0.947685889719,-3.703284246967,-3.214257819829,11,11,0,0
131,Max Verstappen,driver,27.600000000000,30.701439642006,22.829641560152,7.301573317323,30.131214877475,6.500000000000,0.416658964446,7.874107543389,,11,-0.570224764531,-7.871798081854,1.112371001522,1.091710683966,1,4,-3,3
110,Lewis Hamilton,driver,25.000000000000,27.666919966406,28.567931095704,8.202308873965,36.770239969668,7.000000000000,0.416658964446,9.061073712776,,11,9.103320003262,0.901011129298,1.106676798656,1.470809598787,2,2,0,0
115,Charles Leclerc,driver,23.900000000000,27.633830026788,26.299286663314,9.491035841626,35.790322504941,10.750000000000,0.416658964446,8.591804224903,,10,8.156492478152,-1.334543363474,1.156227197774,1.497503033680,3,3,0,0
117,Lando Norris,driver,26.100000000000,27.464948601164,21.396083171346,8.691065268288,30.087148439634,10.250000000000,0.416658964446,7.577575746098,,11,2.622199838471,-6.068865429818,1.052296881271,1.152764308032,4,5,-1,1
11161,Kimi Antonelli,driver,25.700000000000,27.060159067926,31.398673654485,9.793855032964,41.192528687449,10.000000000000,0.416658964446,9.646613293988,,11,14.132369619523,4.338514586559,1.052924477351,1.602822127916,5,1,4,4
124,George Russell,driver,27.900000000000,24.672295808597,20.066606070125,8.947303951572,29.013910021696,11.250000000000,0.416658964446,7.302573180900,,10,4.341614213099,-4.605689738472,0.884311677727,1.039925090383,6,6,0,0
1982,Oscar Piastri,driver,24.400000000000,18.774695642511,11.255422332766,6.321638462297,17.577060795063,7.500000000000,0.416658964446,5.479978321629,,11,-1.197634847448,-7.519273309745,0.769454739447,0.720371344060,7,8,-1,1
11032,Isack Hadjar,driver,14.500000000000,12.155779558275,16.990164703474,3.784509546478,20.774674249952,-0.250000000000,0.416658964446,6.666210759364,,11,8.618894691677,4.834385145199,0.838329624709,1.432736155169,8,7,1,1
18,Pierre Gasly,driver,13.000000000000,8.076671099360,10.213511760654,4.939654385583,15.153166146237,4.333333333333,0.348830011136,5.264458942037,,10,7.076495046877,2.136840661294,0.621282392258,1.165628165095,9,11,-2,2
114,Liam Lawson,driver,10.300000000000,7.254887316603,8.979371245195,6.567824300776,15.547195545972,8.750000000000,0.416658964446,5.009176765868,,11,8.292308229369,1.724483928593,0.704357991903,1.509436460774,10,9,1,1
11059,Franco Colapinto,driver,11.200000000000,7.062840540198,9.920089139413,5.327193631613,15.247282771027,5.500000000000,0.416658964446,5.203764422775,,10,8.184442230829,2.857248599215,0.630610762518,1.361364533127,11,10,1,1
118,Esteban Ocon,driver,10.700000000000,7.057350728717,7.832590079649,5.596130948314,13.428721027963,6.750000000000,0.416658964446,4.771964886133,,11,6.371370299247,0.775239350932,0.659565488665,1.255020656819,12,12,0,0
11149,Arvid Lindblad,driver,8.000000000000,6.427029949429,6.514930449785,1.791370673892,8.306301123677,-2.000000000000,0.416658964446,4.499406766901,,11,1.879271174248,0.087900500356,0.803378743679,1.038287640460,13,15,-2,2
125,Carlos Sainz,driver,10.000000000000,5.547403613986,3.560049185099,4.970219314494,8.530268499593,8.000000000000,0.263151750059,3.888189073195,,9,2.982864885607,-1.987354428887,0.554740361399,0.853026849959,14,14,0,0
11031,Oliver Bearman,driver,7.600000000000,4.980537954609,3.875613910134,3.972853460970,7.848467371104,4.000000000000,0.416658964446,3.953463690404,,11,2.867929416494,-1.104924044475,0.655333941396,1.032693075145,15,16,-1,1
11051,Gabriel Bortoleto,driver,7.800000000000,4.780742144298,7.288979635257,2.822253363988,10.111232999246,0.250000000000,0.416658964446,4.659518972970,,11,5.330490854948,2.508237490959,0.612915659525,1.296311922980,16,13,3,3
12,Fernando Alonso,driver,6.200000000000,2.813142485466,2.172523840285,3.142363025888,5.314886866173,2.500000000000,0.416658964446,3.601179218907,,11,2.501744380707,-0.640618645181,0.453732658946,0.857239817125,17,17,0,0
11,Alexander Albon,driver,5.800000000000,0.863566318811,-2.118726871945,4.812022286265,2.693295414320,7.750000000000,0.416658964446,2.713533276990,,11,1.829729095509,-2.982293190756,0.148890744623,0.464361278331,18,18,0,0
121,Sergio Perez,driver,3.800000000000,0.368421142423,-4.817096978406,2.819789777918,-1.997307200488,3.750000000000,0.416658964446,2.155374960123,,11,-2.365728342911,-5.185518120829,0.096952932217,-0.525607158023,19,20,-1,1
111,Nico Hulkenberg,driver,3.000000000000,0.278950314966,-0.447921393781,0.638709553804,0.190788160023,-2.750000000000,0.416658964446,3.059139675189,,11,-0.088162154943,-0.726871708747,0.092983438322,0.063596053341,20,19,1,1
129,Lance Stroll,driver,3.000000000000,-2.066177798423,-6.541883994221,3.236658191704,-3.305225802517,5.250000000000,0.416658964446,1.798602471652,,11,-1.239048004095,-4.475706195798,-0.688725932808,-1.101741934172,21,21,0,0
13,Valtteri Bottas,driver,3.000000000000,-3.553267470013,-6.940213619183,1.105299246841,-5.834914372341,0.250000000000,0.416658964446,1.716207920773,,11,-2.281646902328,-3.386946149169,-1.184422490004,-1.944971457447,22,22,0,0
