request_number,requested_at_utc,family,purpose,season,asset_type,player_id,player_id_source,game_period_id,game_period_id_source,url,http_status,content_type,response_length,valid_json,top_level_json_keys,response_preview,authentication_appears_necessary,contains_expected_season,contains_scoring_information,classification,diagnostic
59,2026-08-05T20:04:57.049752+00:00,partner_game_period_scores_fixed_2022_path_constructor,historical_scores,2024,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/partner_games/f1/2022/players/28/game_periods_scores?season_name=2024,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/28/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/28/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
60,2026-08-05T20:04:58.057758+00:00,partner_game_period_scores_fixed_2022_path_driver,historical_scores,2025,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/partner_games/f1/2022/players/18/game_periods_scores?season_name=2025,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/18/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/18/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
61,2026-08-05T20:04:59.059159+00:00,partner_game_period_scores_fixed_2022_path_constructor,historical_scores,2025,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/partner_games/f1/2022/players/28/game_periods_scores?season_name=2025,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/28/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/28/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
62,2026-08-05T20:05:00.069171+00:00,partner_game_period_scores_fixed_2022_path_driver,historical_scores,2026,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/partner_games/f1/2022/players/18/game_periods_scores?season_name=2026,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/18/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/18/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
63,2026-08-05T20:05:01.077887+00:00,partner_game_period_scores_fixed_2022_path_constructor,historical_scores,2026,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/partner_games/f1/2022/players/28/game_periods_scores?season_name=2026,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/28/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players/28/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
64,2026-08-05T20:05:02.078236+00:00,legacy_game_period_scores_season_path_driver,historical_scores,2021,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2021/players/18/game_periods_scores?season_name=2021,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2021/players/18/game_periods_scores?season_name=2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2021/players/18/game_periods_scores?season_name=2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
65,2026-08-05T20:05:03.087133+00:00,legacy_game_period_scores_season_path_constructor,historical_scores,2021,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2021/players/28/game_periods_scores?season_name=2021,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2021/players/28/game_periods_scores?season_name=2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2021/players/28/game_periods_scores?season_name=2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
66,2026-08-05T20:05:04.096809+00:00,legacy_game_period_scores_season_path_driver,historical_scores,2022,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/18/game_periods_scores?season_name=2022,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
67,2026-08-05T20:05:05.105597+00:00,legacy_game_period_scores_season_path_constructor,historical_scores,2022,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/28/game_periods_scores?season_name=2022,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
68,2026-08-05T20:05:06.114903+00:00,legacy_game_period_scores_season_path_driver,historical_scores,2023,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2023/players/18/game_periods_scores?season_name=2023,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2023/players/18/game_periods_scores?season_name=2023 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2023/players/18/game_periods_scores?season_name=2023 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
69,2026-08-05T20:05:07.125110+00:00,legacy_game_period_scores_season_path_constructor,historical_scores,2023,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2023/players/28/game_periods_scores?season_name=2023,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2023/players/28/game_periods_scores?season_name=2023 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2023/players/28/game_periods_scores?season_name=2023 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
70,2026-08-05T20:05:08.131573+00:00,legacy_game_period_scores_season_path_driver,historical_scores,2024,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2024/players/18/game_periods_scores?season_name=2024,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2024/players/18/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2024/players/18/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
71,2026-08-05T20:05:09.138795+00:00,legacy_game_period_scores_season_path_constructor,historical_scores,2024,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2024/players/28/game_periods_scores?season_name=2024,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2024/players/28/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2024/players/28/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
72,2026-08-05T20:05:10.148843+00:00,legacy_game_period_scores_season_path_driver,historical_scores,2025,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2025/players/18/game_periods_scores?season_name=2025,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2025/players/18/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2025/players/18/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
73,2026-08-05T20:05:11.156792+00:00,legacy_game_period_scores_season_path_constructor,historical_scores,2025,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2025/players/28/game_periods_scores?season_name=2025,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2025/players/28/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2025/players/28/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
74,2026-08-05T20:05:12.166941+00:00,legacy_game_period_scores_season_path_driver,historical_scores,2026,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2026/players/18/game_periods_scores?season_name=2026,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2026/players/18/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2026/players/18/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
75,2026-08-05T20:05:13.174216+00:00,legacy_game_period_scores_season_path_constructor,historical_scores,2026,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2026/players/28/game_periods_scores?season_name=2026,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2026/players/28/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2026/players/28/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
76,2026-08-05T20:05:14.179300+00:00,legacy_game_period_scores_fixed_2022_path_driver,historical_scores,2021,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/18/game_periods_scores?season_name=2021,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
77,2026-08-05T20:05:15.186771+00:00,legacy_game_period_scores_fixed_2022_path_constructor,historical_scores,2021,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/28/game_periods_scores?season_name=2021,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
78,2026-08-05T20:05:16.191767+00:00,legacy_game_period_scores_fixed_2022_path_driver,historical_scores,2022,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/18/game_periods_scores?season_name=2022,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
79,2026-08-05T20:05:17.193130+00:00,legacy_game_period_scores_fixed_2022_path_constructor,historical_scores,2022,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/28/game_periods_scores?season_name=2022,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
80,2026-08-05T20:05:18.203191+00:00,legacy_game_period_scores_fixed_2022_path_driver,historical_scores,2023,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/18/game_periods_scores?season_name=2023,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2023 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2023 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
81,2026-08-05T20:05:19.213222+00:00,legacy_game_period_scores_fixed_2022_path_constructor,historical_scores,2023,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/28/game_periods_scores?season_name=2023,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2023 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2023 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
82,2026-08-05T20:05:20.214988+00:00,legacy_game_period_scores_fixed_2022_path_driver,historical_scores,2024,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/18/game_periods_scores?season_name=2024,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
83,2026-08-05T20:05:21.225176+00:00,legacy_game_period_scores_fixed_2022_path_constructor,historical_scores,2024,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/28/game_periods_scores?season_name=2024,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2024 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
84,2026-08-05T20:05:22.230813+00:00,legacy_game_period_scores_fixed_2022_path_driver,historical_scores,2025,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/18/game_periods_scores?season_name=2025,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
85,2026-08-05T20:05:23.240815+00:00,legacy_game_period_scores_fixed_2022_path_constructor,historical_scores,2025,constructor,28,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/28/game_periods_scores?season_name=2025,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/28/game_periods_scores?season_name=2025 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
86,2026-08-05T20:05:24.250867+00:00,legacy_game_period_scores_fixed_2022_path_driver,historical_scores,2026,driver,18,current public drivers feed (current-season ID; historical stability unproven),,,https://fantasy-api.formula1.com/f1/2022/players/18/game_periods_scores?season_name=2026,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /f1/2022/players/18/game_periods_scores?season_name=2026 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
