season,round,entity_type,canonical_entity_id,name,event_name,approximate_points,recorded_points,difference,absolute_difference
2024,4,driver,hulkenberg,Nico Hülkenberg,Japanese Grand Prix,2.0,10.0,8.0,8.0
2024,4,driver,leclerc,Charles Leclerc,Japanese Grand Prix,23.0,31.0,8.0,8.0
2024,4,driver,tsunoda,Yuki Tsunoda,Japanese Grand Prix,2.0,10.0,8.0,8.0
2024,5,constructor,aston_martin,Aston Martin,Chinese Grand Prix,21.0,29.0,8.0,8.0
2024,5,constructor,rb,RB,Chinese Grand Prix,-6.0,-14.0,-8.0,8.0
2024,5,driver,bottas,Valtteri Bottas,Chinese Grand Prix,-22.0,-14.0,8.0,8.0
2024,5,driver,hulkenberg,Nico Hülkenberg,Chinese Grand Prix,-4.0,4.0,8.0,8.0
2024,5,driver,sainz,Carlos Sainz,Chinese Grand Prix,22.0,30.0,8.0,8.0
2024,5,driver,tsunoda,Yuki Tsunoda,Chinese Grand Prix,-14.0,-6.0,8.0,8.0
2025,2,constructor,aston_martin,Aston Martin,Chinese Grand Prix,12.0,4.0,-8.0,8.0
2025,2,constructor,haas,Haas,Chinese Grand Prix,55.0,47.0,-8.0,8.0
