entity_type,entity_id,entity_name,weight,shrunk_alpha,shrunk_beta,baseline,shrunk_adjustment,shrunk_candidate_sprint_ev
driver,albon,Alexander Albon,0,4.229110908,0.09264269641,-2.272727273,4.018559325,1.745832052
driver,albon,Alexander Albon,0.25,4.799843886,0.03773953049,-2.272727273,4.714072225,2.441344953
driver,albon,Alexander Albon,0.5,5.370576863,-0.01716363544,-2.272727273,5.409585126,3.136857853
driver,albon,Alexander Albon,0.75,5.941309841,-0.07206680137,-2.272727273,6.105098026,3.832370753
driver,albon,Alexander Albon,1,6.512042819,-0.1269699673,-2.272727273,6.800610926,4.527883654
driver,alonso,Fernando Alonso,0,4.229110908,0.09264269641,-0.4545454545,4.187000591,3.732455137
driver,alonso,Fernando Alonso,0.25,4.201733513,0.1774554442,-0.4545454545,4.121071947,3.666526493
driver,alonso,Fernando Alonso,0.5,4.174356118,0.2622681921,-0.4545454545,4.055143304,3.600597849
driver,alonso,Fernando Alonso,0.75,4.146978724,0.3470809399,-0.4545454545,3.98921466,3.534669205
driver,alonso,Fernando Alonso,1,4.119601329,0.4318936877,-0.4545454545,3.923286016,3.468740562
driver,antonelli,Kimi Antonelli,0,4.229110908,0.09264269641,35.36363636,7.505293535,42.8689299
driver,antonelli,Kimi Antonelli,0.25,6.790064381,0.04062444295,35.36363636,8.226692409,43.59032877
driver,antonelli,Kimi Antonelli,0.5,9.351017854,-0.01139381051,35.36363636,8.948091282,44.31172765
driver,antonelli,Kimi Antonelli,0.75,11.91197133,-0.06341206397,35.36363636,9.669490156,45.03312652
driver,antonelli,Kimi Antonelli,1,14.4729248,-0.1154303174,35.36363636,10.39088903,45.75452539
driver,arvid_lindblad,Arvid Lindblad,0,4.229110908,0.09264269641,6.545454545,4.835499466,11.38095401
driver,arvid_lindblad,Arvid Lindblad,0.25,2.746075008,0.04663838308,6.545454545,3.051344425,9.59679897
driver,arvid_lindblad,Arvid Lindblad,0.5,1.263039109,0.0006340697492,6.545454545,1.267189384,7.812643929
driver,arvid_lindblad,Arvid Lindblad,0.75,-0.2199967906,-0.04537024358,6.545454545,-0.5169656577,6.028488888
driver,arvid_lindblad,Arvid Lindblad,1,-1.70303269,-0.09137455691,6.545454545,-2.301120699,4.244333847
driver,bearman,Oliver Bearman,0,4.229110908,0.09264269641,4.818181818,4.675480263,9.493662081
driver,bearman,Oliver Bearman,0.25,4.000195932,0.08408944775,4.818181818,4.40535418,9.223535998
driver,bearman,Oliver Bearman,0.5,3.771280956,0.07553619909,4.818181818,4.135228097,8.953409915
driver,bearman,Oliver Bearman,0.75,3.54236598,0.06698295043,4.818181818,3.865102014,8.683283832
driver,bearman,Oliver Bearman,1,3.313451004,0.05842970177,4.818181818,3.594975931,8.413157749
driver,bortoleto,Gabriel Bortoleto,0,4.229110908,0.09264269641,5.818181818,4.76812296,10.58630478
driver,bortoleto,Gabriel Bortoleto,0.25,3.478895927,-0.005768053473,5.818181818,3.445336343,9.263518161
driver,bortoleto,Gabriel Bortoleto,0.5,2.728680946,-0.1041788034,5.818181818,2.122549727,7.940731545
driver,bortoleto,Gabriel Bortoleto,0.75,1.978465966,-0.2025895532,5.818181818,0.7997631106,6.617944929
driver,bortoleto,Gabriel Bortoleto,1,1.228250985,-0.3010003031,5.818181818,-0.5230235057,5.295158312
driver,bottas,Valtteri Bottas,0,4.229110908,0.09264269641,-5.545454545,3.715365046,-1.8300895
driver,bottas,Valtteri Bottas,0.25,4.873587567,-0.215605697,-5.545454545,6.069219159,0.5237646137
driver,bottas,Valtteri Bottas,0.5,5.518064226,-0.5238540904,-5.545454545,8.423073273,2.877618727
driver,bottas,Valtteri Bottas,0.75,6.162540885,-0.8321024838,-5.545454545,10.77692739,5.23147284
driver,bottas,Valtteri Bottas,1,6.807017544,-1.140350877,-5.545454545,13.1307815,7.585326954
driver,colapinto,Franco Colapinto,0,4.229110908,0.09264269641,10.1,5.164802141,15.26480214
driver,colapinto,Franco Colapinto,0.25,5.047315806,0.03666348949,10.1,5.41761705,15.51761705
driver,colapinto,Franco Colapinto,0.5,5.865520705,-0.01931571743,10.1,5.670431959,15.77043196
driver,colapinto,Franco Colapinto,0.75,6.683725603,-0.07529492435,10.1,5.923246867,16.02324687
driver,colapinto,Franco Colapinto,1,7.501930502,-0.1312741313,10.1,6.176061776,16.27606178
driver,gasly,Pierre Gasly,0,4.229110908,0.09264269641,10.2,5.174066411,15.37406641
driver,gasly,Pierre Gasly,0.25,4.293072651,0.06316433278,10.2,4.937348846,15.13734885
driver,gasly,Pierre Gasly,0.5,4.357034395,0.03368596914,10.2,4.70063128,14.90063128
driver,gasly,Pierre Gasly,0.75,4.420996138,0.004207605511,10.2,4.463913715,14.66391371
driver,gasly,Pierre Gasly,1,4.484957882,-0.02527075812,10.2,4.227196149,14.42719615
driver,hadjar,Isack Hadjar,0,4.229110908,0.09264269641,12.63636364,5.399777708,18.03614134
driver,hadjar,Isack Hadjar,0.25,3.316974325,0.04431339878,12.63636364,3.876934546,16.51329818
driver,hadjar,Isack Hadjar,0.5,2.404837742,-0.004015898859,12.63636364,2.354091384,14.99045502
driver,hadjar,Isack Hadjar,0.75,1.492701159,-0.05234519649,12.63636364,0.8312482218,13.46761186
driver,hadjar,Isack Hadjar,1,0.5805645766,-0.1006744941,12.63636364,-0.6915949402,11.9447687
driver,hamilton,Lewis Hamilton,0,4.229110908,0.09264269641,28.72727273,6.890482914,35.61775564
driver,hamilton,Lewis Hamilton,0.25,4.100404609,0.09805345088,28.72727273,6.917212835,35.64448556
driver,hamilton,Lewis Hamilton,0.5,3.971698311,0.1034642053,28.72727273,6.943942756,35.67121548
driver,hamilton,Lewis Hamilton,0.75,3.842992013,0.1088749598,28.72727273,6.970672676,35.6979454
driver,hamilton,Lewis Hamilton,1,3.714285714,0.1142857143,28.72727273,6.997402597,35.72467532
driver,hulkenberg,Nico Hulkenberg,0,4.229110908,0.09264269641,-1.909090909,4.052247578,2.143156669
driver,hulkenberg,Nico Hulkenberg,0.25,2.659529782,0.1107047519,-1.909090909,2.448184346,0.539093437
driver,hulkenberg,Nico Hulkenberg,0.5,1.089948655,0.1287668074,-1.909090909,0.844121114,-1.064969795
driver,hulkenberg,Nico Hulkenberg,0.75,-0.4796324709,0.1468288628,-1.909090909,-0.7599421182,-2.669033027
driver,hulkenberg,Nico Hulkenberg,1,-2.049213597,0.1648909183,-1.909090909,-2.36400535,-4.273096259
driver,lawson,Liam Lawson,0,4.229110908,0.09264269641,8.454545455,5.012362796,13.46690825
driver,lawson,Liam Lawson,0.25,4.936079922,0.1207854476,8.454545455,5.957265979,14.41181143
driver,lawson,Liam Lawson,0.5,5.643048937,0.1489281988,8.454545455,6.902169163,15.35671462
driver,lawson,Liam Lawson,0.75,6.350017951,0.1770709499,8.454545455,7.847072346,16.3016178
driver,lawson,Liam Lawson,1,7.056986966,0.2052137011,8.454545455,8.79197553,17.24652098
driver,leclerc,Charles Leclerc,0,4.229110908,0.09264269641,24.2,6.471064161,30.67106416
driver,leclerc,Charles Leclerc,0.25,5.396227454,0.0854511853,24.2,7.464146138,31.66414614
driver,leclerc,Charles Leclerc,0.5,6.563344,0.0782596742,24.2,8.457228116,32.65722812
driver,leclerc,Charles Leclerc,0.75,7.730460546,0.07106816309,24.2,9.450310093,33.65031009
driver,leclerc,Charles Leclerc,1,8.897577093,0.06387665198,24.2,10.44339207,34.64339207
driver,max_verstappen,Max Verstappen,0,4.229110908,0.09264269641,22.27272727,6.292516419,28.56524369
driver,max_verstappen,Max Verstappen,0.25,5.065492314,0.05242429955,22.27272727,6.233124441,28.50585171
driver,max_verstappen,Max Verstappen,0.5,5.901873721,0.01220590269,22.27272727,6.173732462,28.44645974
driver,max_verstappen,Max Verstappen,0.75,6.738255127,-0.02801249417,22.27272727,6.114340484,28.38706776
driver,max_verstappen,Max Verstappen,1,7.574636534,-0.06823089103,22.27272727,6.054948506,28.32767578
driver,norris,Lando Norris,0,4.229110908,0.09264269641,16.90909091,5.795614683,22.70470559
driver,norris,Lando Norris,0.25,5.302136211,0.1062647431,16.90909091,7.098976413,24.00806732
driver,norris,Lando Norris,0.5,6.375161514,0.1198867899,16.90909091,8.402338143,25.31142905
driver,norris,Lando Norris,0.75,7.448186818,0.1335088366,16.90909091,9.705699873,26.61479078
driver,norris,Lando Norris,1,8.521212121,0.1471308833,16.90909091,11.0090616,27.91815251
driver,ocon,Esteban Ocon,0,4.229110908,0.09264269641,8.454545455,5.012362796,13.46690825
driver,ocon,Esteban Ocon,0.25,4.387194627,0.1191808175,8.454545455,5.394814265,13.84935972
driver,ocon,Esteban Ocon,0.5,4.545278345,0.1457189386,8.454545455,5.777265735,14.23181119
driver,ocon,Esteban Ocon,0.75,4.703362064,0.1722570596,8.454545455,6.159717205,14.61426266
driver,ocon,Esteban Ocon,1,4.861445783,0.1987951807,8.454545455,6.542168675,14.99671413
driver,perez,Sergio Perez,0,4.229110908,0.09264269641,-0.9090909091,4.144890275,3.235799366
driver,perez,Sergio Perez,0.25,4.163319892,0.05868468012,-0.9090909091,4.109970183,3.200879273
driver,perez,Sergio Perez,0.5,4.097528876,0.02472666382,-0.9090909091,4.075050091,3.165959181
driver,perez,Sergio Perez,0.75,4.03173786,-0.009231352475,-0.9090909091,4.040129998,3.131039089
driver,perez,Sergio Perez,1,3.965946844,-0.04318936877,-0.9090909091,4.005209906,3.096118997
driver,piastri,Oscar Piastri,0,4.229110908,0.09264269641,11.81818182,5.323979138,17.14216096
driver,piastri,Oscar Piastri,0.25,4.941620713,0.08150630435,11.81818182,5.904877037,17.72305886
driver,piastri,Oscar Piastri,0.5,5.654130518,0.0703699123,11.81818182,6.485774936,18.30395675
driver,piastri,Oscar Piastri,0.75,6.366640323,0.05923352024,11.81818182,7.066672835,18.88485465
driver,piastri,Oscar Piastri,1,7.079150128,0.04809712818,11.81818182,7.647570734,19.46575255
driver,russell,George Russell,0,4.229110908,0.09264269641,23.1,6.369157195,29.46915719
driver,russell,George Russell,0.25,5.548437327,0.08885517137,23.1,7.600991786,30.70099179
driver,russell,George Russell,0.5,6.867763746,0.08506764633,23.1,8.832826376,31.93282638
driver,russell,George Russell,0.75,8.187090165,0.08128012129,23.1,10.06466097,33.16466097
driver,russell,George Russell,1,9.506416584,0.07749259625,23.1,11.29649556,34.39649556
driver,sainz,Carlos Sainz,0,4.229110908,0.09264269641,5.222222222,4.712911656,9.935133878
driver,sainz,Carlos Sainz,0.25,4.229110908,0.09264269641,5.222222222,4.712911656,9.935133878
driver,sainz,Carlos Sainz,0.5,4.229110908,0.09264269641,5.222222222,4.712911656,9.935133878
driver,sainz,Carlos Sainz,0.75,4.229110908,0.09264269641,5.222222222,4.712911656,9.935133878
driver,sainz,Carlos Sainz,1,,,5.222222222,,
driver,stroll,Lance Stroll,0,4.229110908,0.09264269641,-9.181818182,3.378482513,-5.803335668
driver,stroll,Lance Stroll,0.25,4.484333181,0.07509426721,-9.181818182,3.794831273,-5.386986909
driver,stroll,Lance Stroll,0.5,4.739555454,0.057545838,-9.181818182,4.211180032,-4.97063815
driver,stroll,Lance Stroll,0.75,4.994777727,0.0399974088,-9.181818182,4.627528792,-4.55428939
driver,stroll,Lance Stroll,1,5.25,0.02244897959,-9.181818182,5.043877551,-4.137940631
